Zip Code ZCTA,2010 Census Population
70001,37996
70002,18879
70003,40150
70005,24339
70006,15703
70030,4585
70031,1316
70032,3635
70036,1227
70037,15590
70038,426
70039,2460
70040,1604
70041,2381
70043,16760
70047,13006
70049,2481
70050,74
70051,2518
70052,3795
70053,16499
70056,39082
70057,4719
70058,39887
70062,17095
70065,51116
70067,2757
70068,34101
70070,12471
70071,3653
70072,56344
70075,4417
70076,292
70079,3067
70080,1556
70082,336
70083,2353
70084,7552
70085,4427
70086,1969
70087,8122
70090,7671
70091,278
70092,6651
70094,31669
70112,3655
70113,7025
70114,22870
70115,31695
70116,11507
70117,23389
70118,33008
70119,36228
70121,12029
70122,28564
70123,26475
70124,16824
70125,14479
70126,23958
70127,20471
70128,17113
70129,9064
70130,14064
70131,29915
70139,0
70163,0
70301,43037
70339,6033
70340,109
70341,4449
70342,4979
70343,5504
70344,6143
70345,9754
70346,10925
70352,205
70353,1402
70354,4931
70355,1041
70356,2484
70357,3043
70358,1296
70359,8408
70360,26429
70363,26513
70364,30503
70372,2518
70373,7141
70374,7125
70375,125
70377,4403
70380,22928
70390,6969
70391,202
70392,8456
70393,774
70394,14328
70395,4658
70397,1365
70401,20415
70402,1514
70403,26011
70420,7345
70422,13797
70426,6342
70427,20033
70431,5366
70433,31133
70435,16603
70436,629
70437,7918
70438,18540
70441,5112
70442,277
70443,10232
70444,10160
70445,10840
70446,5877
70447,10150
70448,24851
70449,3611
70450,2884
70451,182
70452,13163
70453,1045
70454,24954
70455,1474
70456,2850
70458,35077
70460,22096
70461,27818
70462,5699
70463,126
70464,312
70465,776
70466,8512
70471,21383
70501,31358
70503,27816
70506,41163
70507,16558
70508,34810
70510,25313
70512,9780
70513,124
70514,2545
70515,3838
70516,1546
70517,26500
70518,12297
70519,222
70520,18405
70523,906
70524,314
70525,13150
70526,19206
70528,2333
70529,11752
70531,1261
70532,2685
70533,7385
70534,899
70535,18215
70537,541
70538,14844
70541,432
70542,3435
70543,4077
70544,11677
70546,16425
70548,10353
70549,3948
70550,174
70552,1819
70554,5582
70555,7372
70556,331
70558,134
70559,2943
70560,42022
70563,18502
70570,38987
70575,55
70576,1526
70577,4645
70578,16122
70580,179
70581,929
70582,19781
70583,11693
70584,7358
70585,235
70586,20313
70589,3283
70591,5299
70592,18878
70601,32384
70605,32741
70607,25560
70611,19256
70615,14335
70630,1440
70631,962
70632,371
70633,7604
70634,25125
70637,654
70638,937
70639,684
70640,301
70643,352
70644,308
70645,1262
70646,750
70647,8703
70648,8026
70650,435
70651,500
70652,2203
70653,3111
70654,155
70655,3002
70656,4023
70657,4315
70658,955
70659,1482
70660,2612
70661,2309
70662,411
70663,28150
70665,10743
70668,6424
70669,10131
70706,20752
70710,3593
70711,5266
70712,479
70714,19803
70715,1433
70719,4460
70721,701
70722,5713
70723,1759
70725,1826
70726,50583
70729,1032
70730,3499
70732,1178
70733,1621
70734,7554
70736,518
70737,38643
70739,12486
70740,1305
70743,350
70744,6181
70747,180
70748,6657
70749,1554
70750,1951
70752,806
70753,870
70754,10170
70755,2186
70756,393
70757,3177
70759,1528
70760,6993
70761,897
70762,926
70763,3816
70764,17584
70767,14914
70769,36084
70770,2923
70772,784
70773,143
70774,10076
70775,14720
70776,6043
70777,4269
70778,2291
70780,1015
70782,299
70783,2604
70785,20979
70787,127
70788,4051
70789,750
70791,24918
70801,13
70802,27267
70803,1335
70805,29909
70806,28706
70807,20377
70808,32504
70809,25050
70810,37980
70811,13676
70812,11206
70814,14514
70815,30075
70816,43194
70817,31192
70818,9649
70819,5040
70820,17222
70836,0
71001,4531
71003,989
71004,644
71006,12158
71007,1141
71008,739
71016,2070
71018,1622
71019,8555
71021,772
71023,3632
71024,1420
71027,1585
71028,1666
71029,219
71030,1537
71031,1064
71032,2164
71033,3510
71034,313
71037,19325
71038,4064
71039,1934
71040,10268
71043,546
71044,657
71045,663
71046,1351
71047,12203
71048,104
71049,3460
71051,2409
71052,10259
71055,20268
71060,3089
71061,1712
71063,748
71064,4096
71065,1232
71067,3297
71068,3627
71069,812
71070,1833
71071,2685
71072,1530
71073,2319
71075,6416
71078,5546
71079,272
71082,5119
71101,8197
71103,7813
71104,14802
71105,21907
71106,34814
71107,33800
71108,20388
71109,22154
71110,2793
71111,38456
71112,31358
71115,14506
71118,24761
71119,11562
71129,13391
71201,20319
71202,29044
71203,37105
71209,154
71219,1288
71220,23266
71222,3481
71223,523
71225,7068
71226,1638
71227,3635
71229,1662
71232,6581
71233,305
71234,3992
71235,4280
71237,1578
71238,2807
71241,9982
71243,194
71245,4718
71247,1175
71250,220
71251,9051
71253,255
71254,6759
71256,688
71259,1697
71260,3177
71261,1684
71263,8275
71264,1045
71266,1699
71268,2819
71269,12757
71270,30887
71272,1893
71275,2453
71276,289
71277,1758
71279,45
71280,3647
71282,11070
71286,615
71291,32644
71292,21541
71295,14343
71301,22859
71302,15049
71303,21015
71316,37
71322,6969
71323,989
71325,1321
71326,1164
71327,5454
71328,7414
71331,1036
71333,666
71334,9839
71336,1650
71339,130
71340,1710
71341,3069
71342,7533
71343,7678
71345,69
71346,3040
71350,4124
71351,11502
71353,1664
71354,1699
71355,2764
71356,648
71357,2149
71358,1111
71360,35361
71362,2169
71366,1974
71367,1278
71368,1459
71369,3222
71371,2151
71373,7358
71375,1129
71377,112
71378,2536
71401,117
71403,4584
71404,797
71405,5592
71406,216
71407,933
71409,6874
71410,124
71411,2875
71414,238
71416,842
71417,4932
71418,6295
71419,2444
71422,1542
71423,4538
71424,1225
71425,214
71426,229
71427,413
71429,3179
71430,2576
71432,1053
71433,4367
71435,3979
71438,1626
71439,1897
71441,618
71446,22762
71447,1469
71449,9696
71450,1070
71452,57
71454,2527
71455,227
71456,1223
71457,27809
71459,11902
71461,2577
71462,1432
71463,10801
71465,3139
71466,591
71467,7998
71468,868
71469,2792
71472,287
71473,495
