Zip,Unemp. Rate,# in sample
70001,4%,31828
70002,6%,15971
70003,5%,32863
70005,4%,20811
70006,4%,11879
70030,7%,3436
70031,5%,1239
70032,9%,2584
70036,4%,836
70037,5%,12151
70038,7%,266
70039,1%,1306
70040,12%,1539
70041,8%,1411
70043,9%,11263
70047,7%,9990
70049,16%,1760
70050,,0
70051,14%,1608
70052,14%,2820
70053,7%,13644
70056,6%,29187
70057,11%,3332
70058,5%,30308
70062,15%,13555
70065,5%,40807
70067,4%,2747
70068,6%,26542
70070,5%,10087
70071,10%,2701
70072,5%,44207
70075,7%,3066
70076,22%,565
70079,2%,2434
70080,0%,1160
70082,0%,87
70083,10%,1714
70084,12%,5457
70085,15%,3309
70086,9%,1698
70087,8%,6119
70090,9%,6223
70091,0%,163
70092,9%,4966
70094,11%,25327
70112,16%,2607
70113,24%,5794
70114,10%,18550
70115,8%,27296
70116,10%,10239
70117,15%,16624
70118,8%,27178
70119,12%,27990
70121,6%,10089
70122,12%,20664
70123,3%,21772
70124,3%,11999
70125,14%,12595
70126,12%,14595
70127,14%,13194
70128,8%,12051
70129,11%,6221
70130,5%,11006
70131,8%,21569
70139,,0
70163,,0
70301,4%,34928
70339,10%,5316
70340,44%,100
70341,6%,2976
70342,6%,3655
70343,4%,3912
70344,8%,4825
70345,4%,6802
70346,9%,8301
70352,16%,216
70353,13%,705
70354,7%,3715
70355,7%,850
70356,2%,1697
70357,10%,2865
70358,4%,750
70359,7%,5621
70360,4%,21141
70363,7%,20245
70364,5%,23247
70372,5%,2287
70373,5%,5161
70374,3%,6045
70375,0%,96
70377,5%,3531
70380,7%,17738
70390,8%,5584
70391,0%,312
70392,6%,5943
70393,28%,408
70394,4%,11290
70395,3%,3377
70397,2%,1175
70401,6%,17285
70402,5%,533
70403,9%,19930
70420,4%,6425
70422,15%,10625
70426,8%,5335
70427,17%,16085
70431,3%,3747
70433,4%,24765
70435,4%,13212
70436,52%,448
70437,2%,5345
70438,10%,13330
70441,13%,3713
70442,0%,341
70443,14%,7092
70444,9%,7606
70445,8%,8026
70446,8%,4531
70447,4%,7514
70448,4%,18649
70449,6%,2992
70450,19%,2200
70451,0%,12
70452,9%,9928
70453,11%,1089
70454,6%,19360
70455,13%,734
70456,20%,2350
70458,5%,27602
70460,7%,17370
70461,6%,20528
70462,15%,4162
70463,26%,65
70464,38%,281
70465,36%,354
70466,13%,6572
70471,4%,16296
70501,10%,23447
70503,3%,22396
70506,4%,34946
70507,4%,12671
70508,4%,26996
70510,5%,18728
70512,6%,8267
70513,0%,47
70514,9%,2040
70515,7%,3401
70516,16%,1306
70517,7%,18720
70518,3%,8813
70519,0%,169
70520,5%,14113
70523,0%,444
70524,3%,258
70525,9%,8878
70526,10%,14342
70528,6%,1669
70529,5%,8354
70531,6%,865
70532,3%,2091
70533,5%,5728
70534,1%,803
70535,4%,14325
70537,1%,517
70538,12%,12250
70541,4%,277
70542,2%,3041
70543,3%,2666
70544,7%,8409
70546,7%,12639
70548,6%,7994
70549,15%,3139
70550,0%,369
70552,9%,1299
70554,7%,4252
70555,3%,5932
70556,2%,275
70558,0%,143
70559,5%,1684
70560,7%,32385
70563,5%,13966
70570,7%,30556
70575,0%,45
70576,10%,1274
70577,3%,3031
70578,4%,13118
70580,0%,148
70581,9%,682
70582,7%,15762
70583,6%,8133
70584,4%,5431
70585,3%,195
70586,6%,14562
70589,6%,2537
70591,6%,3752
70592,7%,13388
70601,12%,24518
70605,5%,26508
70607,7%,19232
70611,4%,14221
70615,7%,10671
70630,3%,1149
70631,0%,1170
70632,0%,281
70633,10%,6098
70634,7%,18894
70637,0%,548
70638,3%,560
70639,3%,425
70640,0%,240
70643,13%,225
70644,0%,215
70645,3%,1198
70646,10%,366
70647,5%,6727
70648,7%,6558
70650,0%,382
70651,33%,59
70652,8%,1620
70653,8%,2304
70654,22%,95
70655,5%,2390
70656,4%,3233
70657,3%,3144
70658,5%,843
70659,1%,1047
70660,2%,2892
70661,9%,1664
70662,2%,420
70663,9%,21480
70665,6%,7595
70668,4%,5207
70669,8%,7741
70706,4%,16180
70710,7%,2605
70711,9%,4046
70712,16%,5155
70714,9%,15782
70715,9%,1033
70719,6%,3358
70721,8%,545
70722,8%,5238
70723,18%,1339
70725,2%,1531
70726,4%,38203
70729,8%,671
70730,11%,2893
70732,0%,849
70733,6%,1514
70734,4%,4771
70736,22%,432
70737,6%,28221
70739,5%,10128
70740,2%,1292
70743,0%,206
70744,5%,3738
70747,0%,52
70748,7%,5247
70749,4%,1037
70750,4%,1325
70752,0%,612
70753,15%,895
70754,5%,6786
70755,3%,1526
70756,0%,138
70757,10%,3067
70759,6%,1327
